,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,,2,2011,"Computación, Sistemas e Informática",,Analista en Sistemas Informáticos,44,Facultad de Tecnología Informática,,,46,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,9,2011,"Computación, Sistemas e Informática",,Analista en Sistemas Informáticos,53,Facultad de Tecnología Informática - Rosario,,,62,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,10,,2011,"Computación, Sistemas e Informática",,Analista Programador - MD,,Facultad de Tecnología Informática,67,67,,Universidad Abierta Interamericana,,57,Pregrado            ,57,,10,Privada                                           ,Universidad                                       
,29,,2012,"Computación, Sistemas e Informática",12,Analista Programador - MD,,Facultad de Tecnología Informática,136,179,,Universidad Abierta Interamericana,43,150,Pregrado            ,119,31,17,Privada                                           ,Universidad                                       
,31,,2013,"Computación, Sistemas e Informática",9,Analista Programador - MD,2,Facultad de Tecnología Informática,130,186,2,Universidad Abierta Interamericana,56,155,Pregrado            ,108,47,22,Privada                                           ,Universidad                                       
,22,,2014,"Computación, Sistemas e Informática",11,Analista Programador - MD,,Facultad de Tecnología Informática,63,142,,Universidad Abierta Interamericana,79,120,Pregrado            ,52,68,11,Privada                                           ,Universidad                                       
,22,,2015,"Computación, Sistemas e Informática",9,Analista Programador - MD,5,Facultad de Tecnología Informática,58,149,5,Universidad Abierta Interamericana,91,127,Pregrado            ,45,82,13,Privada                                           ,Universidad                                       
,30,,2010,"Computación, Sistemas e Informática",,Tecnicatura Superior en Informática,,Instituto de Ciencias,149,149,,Universidad Nacional de General Sarmiento,,119,Pregrado            ,119,,30,Estatal                                           ,Universidad                                       
,69,,2011,"Computación, Sistemas e Informática",39,Tecnicatura Superior en Informática,,Instituto de Ciencias,110,268,,Universidad Nacional de General Sarmiento,158,199,Pregrado            ,80,119,30,Estatal                                           ,Universidad                                       
,90,1,2012,"Computación, Sistemas e Informática",57,Tecnicatura Superior en Informática,5,Instituto de Ciencias,157,410,6,Universidad Nacional de General Sarmiento,253,320,Pregrado            ,124,196,33,Estatal                                           ,Universidad                                       
,97,4,2013,"Computación, Sistemas e Informática",65,Tecnicatura Superior en Informática,10,Instituto de Ciencias,165,494,14,Universidad Nacional de General Sarmiento,329,397,Pregrado            ,133,264,32,Estatal                                           ,Universidad                                       
,79,,2014,"Computación, Sistemas e Informática",66,Tecnicatura Superior en Informática,4,Instituto de Ciencias,114,509,4,Universidad Nacional de General Sarmiento,395,430,Pregrado            ,101,329,13,Estatal                                           ,Universidad                                       
,112,1,2015,"Computación, Sistemas e Informática",67,Tecnicatura Superior en Informática,7,Instituto de Ciencias,209,629,8,Universidad Nacional de General Sarmiento,420,517,Pregrado            ,164,353,45,Estatal                                           ,Universidad                                       
,14,,2013,"Computación, Sistemas e Informática",,Analista en Sistemas de Información,,Escuela de Ingenieria,67,67,,Universidad Nacional de Villa Mercedes,,53,Pregrado            ,53,,14,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Analista en Sistemas de Información,1,Facultad de Ciencias  Exactas y Tecnológicas,,,1,Universidad Nacional de Santiago del Estero,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,14,,2014,"Computación, Sistemas e Informática",,Analista en Sistemas de Información,,Escuela de Ingenieria,67,67,,Universidad Nacional de Villa Mercedes,,53,Pregrado            ,53,,14,Estatal                                           ,Universidad                                       
,53,,2015,"Computación, Sistemas e Informática",34,Analista en Sistemas de Información,,Escuela de Ingenieria,79,204,,Universidad Nacional de Villa Mercedes,125,151,Pregrado            ,60,91,19,Estatal                                           ,Universidad                                       
,34,,2010,"Computación, Sistemas e Informática",27,Tecnicatura Universitaria en Informática,,Extensión Catuna,18,93,,Universidad Nacional de La Rioja,75,59,Pregrado            ,11,48,7,Estatal                                           ,Universidad                                       
,60,,2010,"Computación, Sistemas e Informática",35,Tecnicatura Universitaria en Informática,,Sede La Rioja,72,214,,Universidad Nacional de La Rioja,142,154,Pregrado            ,47,107,25,Estatal                                           ,Universidad                                       
,38,,2010,"Computación, Sistemas e Informática",30,Tecnicatura Universitaria en Informática,,Sede Universitaria Aimogasta,23,94,,Universidad Nacional de La Rioja,71,56,Pregrado            ,15,41,8,Estatal                                           ,Universidad                                       
,17,,2010,"Computación, Sistemas e Informática",9,Tecnicatura Universitaria en Informática,,Sede Universitaria Chepes,23,57,,Universidad Nacional de La Rioja,34,40,Pregrado            ,15,25,8,Estatal                                           ,Universidad                                       
,85,,2010,"Computación, Sistemas e Informática",79,Tecnicatura Universitaria en Informática,,Sede Villa Unión,27,176,,Universidad Nacional de La Rioja,149,91,Pregrado            ,21,70,6,Estatal                                           ,Universidad                                       
